esn,country,localizedDeviceDescription,deviceDescription,ip,regionCodeDisplayName,ts
NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-029CC725F605355F7D210C869A3664B4C341AD67F56FADF58C4066E46170B36EE,ZA,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,155.93.158.156,Unknown,2019-09-07 10:42:58.370
GOOGEUR001-M10E5GKJY1PUPPS=8WRE1,ZA,Google Chromecast streaming stick,Google Chromecast streaming stick,155.93.158.156,Unknown,2019-09-07 06:50:27.649
NFPS4-001-AUFRGQLLKHZEG70W5Y3M0N0YNR,ZA,Sony PS4,Sony PS4,155.93.158.156,Unknown,2019-09-07 05:09:11.254
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.158.156,Unknown,2019-09-06 13:57:53.827
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.99.213,Unknown,2019-09-06 12:00:13.825
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.99.213,Unknown,2019-09-04 15:12:23.032
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.99.183,Unknown,2019-09-04 12:09:25.991
NFPS4-002-P0PMPPRM5MTVMF33NHFYU9CQ6W,ZA,Sony PS4 Pro,Sony PS4 Pro,155.93.158.156,Unknown,2019-09-01 21:08:46.279
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.99.183,Unknown,2019-08-26 15:33:15.887
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.99.122,Unknown,2019-08-23 12:48:38.113
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.99.122,Unknown,2019-08-21 13:25:19.312
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.99.127,Unknown,2019-08-20 18:22:28.679
NFCDCH-LX-FNDW8Y276U3JL96F593DGVTGCE67HL,ZA,Netflix Chrome Linux (Cadmium) HTML 5,Netflix Chrome Linux (Cadmium) HTML 5,155.93.158.156,Unknown,2019-08-16 09:04:27.750
NFCDOP-01-FG2UW7KL94GLQNX79DL0AD2RW1LNXW,NL,Netflix Opera Other,Netflix Opera Other,2001:67c:2660:425:21:0:0:8a2,Unknown,2019-08-16 09:01:32.265
NFPS4-002-P0PMPPRM5MTVMF33NHFYU9CQ6W,ZA,Sony PS4 Pro,Sony PS4 Pro,155.93.158.156,Unknown,2019-08-14 20:51:26.203
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.99.127,Unknown,2019-08-14 11:14:14.755
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.99.87,Unknown,2019-08-13 16:18:38.231
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.99.87,Unknown,2019-08-12 15:20:07.961
GOOGEUR001-M10E5GKJY1PUPPS=8WRE1,ZA,Google Chromecast streaming stick,Google Chromecast streaming stick,155.93.158.156,Unknown,2019-08-12 14:16:55.066
NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-029CC725F605355F7D210C869A3664B4C341AD67F56FADF58C4066E46170B36EE,ZA,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,155.93.158.156,Unknown,2019-08-12 14:16:19.904
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.99.244,Unknown,2019-08-11 10:38:44.590
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.195.40,Unknown,2019-07-28 18:04:59.234
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.195.185,Unknown,2019-07-28 17:10:28.154
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.195.185,Unknown,2019-07-28 10:37:41.467
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.195.46,Unknown,2019-07-26 19:04:44.746
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.195.46,Unknown,2019-07-26 12:41:06.479
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.195.164,Unknown,2019-07-25 15:10:42.063
